type,total ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc:#,maxms,summs,sdvms,mb
insert,2862,2862,2862,2862,5.5,3.3,10.0,70.6,161.1,169.6,1.0,0.00000,0,0,0,0,0,0
insert,8450,5588,5588,5588,4.4,3.6,10.5,18.8,27.2,59.1,2.0,0.20469,0,1,18,18,0,214
insert,14393,5943,5943,5943,4.2,3.3,9.6,22.8,45.2,47.2,3.0,0.15265,0,1,25,25,0,189
insert,20950,6557,6557,6557,3.9,3.1,9.1,18.9,30.0,35.7,4.0,0.13056,0,0,0,0,0,0
insert,26720,5770,5770,5770,4.3,3.5,9.4,18.7,53.7,58.7,5.0,0.10524,0,1,43,43,0,187
insert,32353,5633,5633,5633,4.5,3.5,10.5,21.5,45.9,48.8,6.0,0.08778,0,1,31,31,0,189
insert,38821,6468,6468,6468,4.0,3.0,9.3,24.0,34.3,52.5,7.0,0.07929,0,0,0,0,0,0
insert,44687,5866,5866,5866,4.2,3.0,11.0,25.9,49.5,65.5,8.0,0.07140,0,1,31,31,0,195
insert,49809,6065,6065,6065,4.1,2.8,11.4,25.7,38.4,71.4,8.8,0.06622,0,0,0,0,0,0

