type,total ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc:#,maxms,summs,sdvms,mb
read1,878,878,675,675,4.9,3.0,18.3,35.7,42.6,42.8,1.0,0.00000,0,0,0,0,0,0
read1,6511,5633,4396,4396,4.3,3.4,10.1,19.5,32.6,35.2,2.0,0.51597,0,1,13,13,0,215
read1,11626,5115,4082,4082,5.2,3.3,11.5,32.0,138.4,149.8,3.0,0.32236,0,1,24,24,0,190
read1,16899,5273,4318,4318,4.6,3.7,10.9,24.8,40.5,42.8,4.0,0.23287,0,1,27,27,0,190
read1,22924,6025,4949,4949,4.2,3.3,9.8,19.4,42.6,59.5,5.0,0.18442,0,1,30,30,0,194
read1,28450,5526,4626,4626,4.6,3.5,11.2,20.8,37.3,47.4,6.0,0.15155,0,0,0,0,0,0
read1,34086,5636,4741,4741,4.7,3.3,12.4,28.6,50.1,55.2,7.0,0.12864,0,1,32,32,0,185
read1,40025,5939,5012,5012,4.3,3.1,11.8,23.3,35.2,43.5,8.0,0.11228,0,1,20,20,0,201
read1,45683,5658,4835,4835,4.6,3.2,12.9,27.1,46.1,55.0,9.0,0.09942,0,1,22,22,0,186
read1,49923,5502,4808,4808,4.8,2.9,16.8,29.6,61.7,101.6,9.8,0.08986,0,0,0,0,0,0
